user_id,movie_id,interaction,timestamp
1,3186,1,978300019
1,1270,1,978300055
1,1721,1,978300055
1,1022,1,978300055
1,1836,1,978300172
1,3408,1,978300275
1,2804,1,978300719
1,1207,1,978300719
1,1193,1,978300760
1,260,1,978300760
1,919,1,978301368
1,608,1,978301398
1,2692,1,978301570
1,1961,1,978301590
1,2028,1,978301619
1,3105,1,978301713
1,938,1,978301752
1,1035,1,978301753
1,1962,1,978301753
1,2018,1,978301777
1,150,1,978301777
1,1028,1,978301777
1,1097,1,978301953
1,1287,1,978302039
1,2797,1,978302039
1,2762,1,978302091
1,1246,1,978302091
1,2918,1,978302124
1,531,1,978302149
1,3114,1,978302174
1,2791,1,978302188
1,1029,1,978302205
1,594,1,978302268
1,2398,1,978302281
1,1545,1,978824139
1,527,1,978824195
2,1198,1,978298124
2,1210,1,978298151
2,1293,1,978298261
2,2943,1,978298372
2,1225,1,978298391
2,1193,1,978298413
2,318,1,978298413
2,3030,1,978298434
2,2858,1,978298434
2,1945,1,978298458
2,1207,1,978298478
2,593,1,978298517
2,3095,1,978298517
2,3468,1,978298542
2,1873,1,978298542
2,515,1,978298542
2,2501,1,978298600
2,3035,1,978298625
2,110,1,978298625
2,2067,1,978298625
2,3147,1,978298652
2,1247,1,978298652
2,3105,1,978298673
2,1357,1,978298709
2,1196,1,978298730
2,1957,1,978298750
2,1953,1,978298775
2,920,1,978298775
2,1834,1,978298813
2,1962,1,978298813
2,3471,1,978298814
2,1259,1,978298841
2,1954,1,978298841
2,1784,1,978298841
2,3451,1,978298924
2,3578,1,978298958
2,3334,1,978298958
2,3068,1,978299000
2,265,1,978299026
2,590,1,978299083
2,3071,1,978299120
2,1955,1,978299200
2,2236,1,978299220
2,982,1,978299269
2,2194,1,978299297
2,2268,1,978299297
2,1442,1,978299297
2,3255,1,978299321
2,1096,1,978299386
2,1124,1,978299418
2,1246,1,978299418
2,1537,1,978299620
2,1188,1,978299620
2,2396,1,978299641
2,356,1,978299686
2,589,1,978299773
2,2028,1,978299773
2,2571,1,978299773
3,2858,1,978297039
3,1968,1,978297068
3,1961,1,978297095
3,1266,1,978297396
3,1378,1,978297419
3,1379,1,978297419
3,3671,1,978297419
3,590,1,978297439
3,260,1,978297512
3,1196,1,978297539
3,2871,1,978297539
3,1197,1,978297570
3,1198,1,978297570
3,3168,1,978297570
3,1210,1,978297600
3,1291,1,978297600
3,2167,1,978297600
3,480,1,978297690
3,1615,1,978297710
3,653,1,978297757
3,733,1,978297757
3,2006,1,978297757
3,2470,1,978297777
3,2115,1,978297777
3,1049,1,978297805
3,552,1,978297837
3,2735,1,978297867
3,1136,1,978298079
3,3421,1,978298147
5,908,1,978241072
5,919,1,978241072
5,1250,1,978241112
5,2858,1,978241390
5,2997,1,978241556
5,2770,1,978241981
5,2355,1,978241981
5,2908,1,978241981
5,3016,1,978242016
5,2599,1,978242323
5,2959,1,978242541
5,2333,1,978242607
5,2580,1,978242607
5,2318,1,978242640
5,2390,1,978242679
5,913,1,978242740
5,2723,1,978242788
5,2560,1,978242977
5,1513,1,978242977
5,2692,1,978242977
5,2395,1,978243054
5,2700,1,978243085
5,2337,1,978243121
5,2987,1,978243170
5,1046,1,978244114
5,3083,1,978244114
5,296,1,978244177
5,593,1,978244177
5,608,1,978244177
5,1213,1,978244177
5,50,1,978244205
5,1089,1,978244205
5,1192,1,978244493
5,2571,1,978244493
5,896,1,978244493
5,714,1,978244493
5,994,1,978244540
5,2289,1,978244568
5,176,1,978244568
5,1730,1,978244603
